,comment,rating,class,clean_comment,sentiment,sentiment_predict
1379,"alhamdulillah paket sudah datang, maaf baru kasih ulasan,  karna baru pulang mudik hehe, pokonya produk scarlet bagus bangetttt aku cocok pake produk inj😍😍💕💕",5,2,alhamdulillah paket datang maaf baru kasih ulas karna baru pulang mudik hehe poko produk scarlet bagus banget aku cocok pake produk inj,1,1
1380,"lama pengirimanya..... padahal pesan pagi dan pakai sicepat BEST, tapi datangnya telat....",3,2,lama pengirimanya padahal pesan pagi pakai sicepat best datang telat,0,0
1381,"ekspedisinya lambat, untung gk sampe malam bgt. hehe udah ngidam scarlett dari 2019 & baru kebeli sekarang. thanks ya.",5,2,ekspedisi lambat untung gk sampe malam bgt hehe udah ngidam scarlett baru kebel sekarang thanks,1,1
1382,emang mantap,5,2,emang mantap,1,1
1383,"brg cepat sampai, sesuai pesanan",5,2,brg cepat sesuai pesan,1,1
1384,bonus produk g sesuai ekspektasi,2,2,bonus produk g sesuai ekspektasi,0,1
1385,"Baru cobain mask sama facial wash sih. Sejauh ini cocok. Cuma waktu pakai mask yang Mugwort, setelah bilas muka langsung merah. Tapi ga pedih atau panas sih, 15 menit kem... ",5,2,baru cobain mask sama facial wash sih jauh cocok cuma waktu pakai mask mugwort bilas muka langsung merah ga pedih panas sih menit kem,1,0
1386,pdhl keterangannya dpt mini botol..tp malah dpt gunting kuku .,2,2,pdhl terang dpt mini botoltp malah dpt gunting kuku,0,0
1387,pengiriman cepat sampai 👍👍👍,5,2,kirim cepat,1,1
1388,"kemasan box nya keren bgt kyk kotak perhiasan,salut bgt,design produknya jg keren dan gaul abis,suka bgt kemasannya,satu2nya kemasan produk indo yg gaul abis,br cb pakai,... ",4,2,kemas box nya keren bgt kyk kotak perhiasansalut bgtdesign produk jg keren gaul abissuka bgt kemasannyasatunya kemas produk indo gaul abisbr cb pakai,1,1
1389,"pengiriman sih OK lah 1 1/2 hr, produk ori, respon penjual sangat baik, pengemasan produk jg OK, tp utk wangi sabun nya kurang ya (mgkn selera sy beda)",4,2,kirim sih lah hr produk ori respon jual sangat baik emas produk jg tp utk wangi sabun nya kurang mgkn selera sy beda,1,1
1390,suka sekali,5,2,suka sekali,1,0
1391,wangi bangett manis,5,2,wangi bangett manis,1,1
1392,"Barangnya Bagusss Bangeeet, Packingnya dan Pelayanan Baik❤️",5,2,barang bagus banget packingnya layan baik,1,1
1393,"sampai dengan selamat 👍
dikemas rapih",5,2,dengan selamat kemas rapih,1,1
1394,"produk sesuai, istri bahagia, terima kasih kakak",5,2,produk sesuai istri bahagia terima kasih kakak,1,1
1395,"pengiriman cepet, barang juga sesuai pesanan ga ada lecet atau kurang, real pict pokoknya. dapet free gunting kuku juga yang lucu banget",5,2,kirim cepet barang sesuai pesan ga lecet kurang real pict pokok dapet free gunting kuku yang lucu banget,1,1
1396,mantap barang sampai tujuan dan ori semua👍👍,5,2,mantap barang tuju ori semua,1,1
1397,aku kasih bintang 3 dulu yach. mudah2an cocok. baru coba pertama kali,3,2,aku kasih bintang dulu yach mudah cocok baru coba pertama kali,0,0
1398,mantap dengan bonusnya. packing super aman,5,2,mantap bonus packing super aman,1,1
1399,"Penjual responsive langsung konfirmasi dan mengirim pesanan walaupun masih dalam suasana libur lebaran, pesanan sampai tepat waktu dan diterima dengan kondisi packaging y... ",5,2,jual responsive langsung konfirmasi kirim pesan walaupun dalam suasana libur lebaran pesan tepat waktu terima kondisi packaging y,1,1
1400,"Barang bagus, Packing Rapi, Sampai Cepat,,
Mantap Gan.. 🤩👍🏻
Semjga produknya cocok",5,2,barang bagus packing rapi cepat mantap gan semjga produk cocok,1,1
1401,"wangi, akan beralih terus ke sampo ini",5,2,wangi alih terus sampo,1,1
1402,sangat² lama diterima,2,2,sangat lama terima,0,0
1403,"Wangi, Barang sesuai pesanan, pengiriman cepat, thx seller n Tokopedia 🙏",5,2,wangi barang sesuai pesan kirim cepat thx seller n tokopedia,1,1
1404,"Pengiriman Lama Nyaris 5 Hari.
Packing Aman.
Mudahan Skincarenya COCOK.
Dapat Gift juga 😍 Makasih Mimin Scarlett 
Selamat Lebaran ❤️
Edit : Ternyata isinya ada yang BOCO... ",4,2,kirim lama nyaris hari packing aman mudah skincarenya cocok gift makasih mimin scarlett selamat lebaran edit nyata isi yang boco,1,1
1405,Barang sesuai dan baik,5,2,barang sesuai baik,1,1
1406,Wahhh mantapp sekali bonusnya terimakasih. Pengen dpt bonus lotionnya eh yang dtg shower scrub gapapa tetap happy :),5,2,wah mantapp sekali bonus terimakasih ken dpt bonus lotionnya eh dtg shower scrub gapapa tetap happy,1,1
1407,"Brg sesuai orderan dpt gift macam2, seller ramah, pengiriman cepat utk luar kota. Utk body careny sdh sering & biasanya cocok, kali ini perdana pake skin care scarlet... ",5,2,brg sesuai order dpt gift macam seller ramah kirim cepat utk luar kota utk body careny sdh sering biasa cocok kali perdana pake skin care scarlet,1,1
1408,"Barang sesuai pesanan, proses cepat, packing & pengiriman ok",5,2,barang sesuai pesan proses cepat packing kirim,1,1
1409,"Barang yang dikirim sesuai, packing aman dan rapih, proses pengiriman cepat",5,2,barang kirim sesuai packing aman rapih proses kirim cepat,1,1
1410,"lambatt, tidak sesuai di profil toko
ENTUTTTTT BANGET",1,2,lambatt sesuai profil toko entut banget,0,0
1411,"Perfect packaging!
Love it!
Bravo!!
😇👍",5,2,perfect packaging love it bravo,1,1
1412,"Proses dan pengiriman cepattt, packaging aman",5,2,proses kirim cepat packaging aman,1,1
1413,"Cepat sampai, dan Original",5,2,cepat dan original,1,1
1414,"thankyouuu reseller
barangnya lengkap dan sesuai pesanan
fast respon
❤❤❤",5,2,thankyou reseller barang lengkap sesuai pesan fast respon,1,1
1415,sangat lambat,1,2,sangat lambat,0,0
1416,barang sesuai pesanan. bonus hand sanitizer juga.. thanks  👍,5,2,barang sesuai pesan bonus hand sanitizer thanks,1,1
1417,"sipp sudah sesuai, terima kasih",5,2,sipp sesuai terima kasih,1,1
1418,tutupnya kurang rapat,3,2,tutup kurang rapat,0,0
1419,cream malamya cair bgt kek serum gt cairnya. katanya masukin kulkas tapi tetep aja. bau nya juga krg nyaman di aku. first purchase tapi agak kecewa sih,3,2,cream malamya cair bgt kek serum gt cair kata masukin kulkas tetep aja bau nya krg nyaman aku first purchase agak kecewa sih,0,0
1420,"alamat toko tidak sesuai, malah pengiriman dari makassar jadi Lamaaaaaaa, adminnya bilang biar saya check dulu tapi gak dibalas2 lagi chat an Gue",1,2,alamat toko sesuai malah kirim makassar jadi lama adminnya bilang biar check dulu gak balas chat an gue,0,0
1421,"Kurir anteraja nya parahhh,pengiriman 4 hari padahal wilayah jabodetabek",3,2,kurir anteraja nya parahpengiriman hari padahal wilayah jabodetabek,0,0
1422,Bagus sesuai dengan pesanan,5,2,bagus sesuai pesan,1,1
1423,"baguss, sesuai deskripsi dan ekpektasi",5,2,baguss sesuai deskripsi ekpektasi,1,1
1424,facial wash n shower scrub varian mango nya wangi,5,2,facial wash n shower scrub varian mango nya wangi,1,0
1425,Flash sale murah Pengiriman Cepat fast Respond,5,2,flash sale murah kirim cepat fast respond,1,1
1426,"Best of everything, thank u!",5,2,best of everything thank u,1,1
1427,"Belum coba sih, smoga cocok, yg yg glow serum nya sulit banget kluar dr spoitnya",3,2,coba sih smoga cocok yg glow serum nya sulit banget kluar dr spoitnya,0,0
1428,BERKUALITAS YGY,5,2,kualitas ygy,1,1
1429,thanks barang sudah sampai dengan baik dan packing nya rapi,5,2,thanks barang sampai baik packing nya rapi,1,1
1430,"packing-nya oke, aman dan rapi dan Kakaknya ramah bangat. sukses selalu buat kakak",5,2,packingnya oke aman rapi kakak ramah bangat sukses selalu buat kakak,1,1
1431,kirain dapet free kaya yang udah² ternyata engga 😂,5,2,kirain dapet free kaya udah nyata engga,1,1
1432,"kotak y penyot saat pengiriman,mohon untuk lebih safty lgi dlam pengiriman",5,2,kotak y penyot pengirimanmohon lebih safty lgi dlam kirim,1,1
1433,jujur saya kecewa bgt.. tapi sudahlah. next time emang udah paling bener order via WA aja seperti biasa 😭,5,2,jujur kecewa bgt sudah next time emang udah paling bener order via wa aja biasa,1,1
1434,di aplikasi barang sudah sampai padahal belum. sampainya 2 hari setelah saya ajukan komplain tentang pengiriman barang,3,2,aplikasi barang sampai padahal sampai hari saya aju komplain kirim barang,0,0
1435,"paket sudah diterima lengkap, tapi packaging agak ringsek mungkin pas pengiriman di ekspedisinya",5,2,paket terima lengkap packaging ringsek mungkin pas kirim ekspedisi,1,1
1436,"Jujur selama aku mesen di toko yang ini pengirimannya agak lama atau aku yang gk sabaran wkwkwk... Sekitar 4, 5 harian gitu. Tapi produk aman kok ampe dirumah gk ada rusa... ",5,2,jujur lama aku mesen toko ini kirim lama aku gk sabar wkwkwk hari gitu produk aman kok ampe rumah gk rusa,1,0
1437,packagingnya krg bagus dan mudah sobek kardusnya dan pengirimannya lama,3,2,packagingnya krg bagus mudah sobek kardus kirim lama,0,0
1438,"Di Pakai Ringan Banget .... 
Terimakasih Scarlett Official 
Sangat"" Membantu Masalah Kulit Wajah Yg Saya Alami",5,2,pakai ringan banget terimakasih scarlett official sangat bantu masalah kulit wajah saya alami,1,1
1439,Pembelian ke 2 lebih encer dan bikin muka saya jadi jerawatan..,2,2,beli lebih encer bikin muka jadi jerawat,0,0
1440,packingnya aja perlu dikembangkan lagi. soalnya pas saya terima udah sobek plastik lagi musim hujan gini kalo kehujanan kan basah kasusnya jadi rusak packingnya,5,2,packingnya aja perlu kembang soal pas terima udah sobek plastik musim hujan gin kalo hujan kan basah kasus jadi rusak packingnya,1,1
1441,"Ga nyaman sekali, padahal buat hampers kado Lebaran tapi kek gini hasilnya😭ditingkat kan lagi dong pengemasannya😭",1,2,ga nyaman sekali padahal buat hampers kado lebaran kek gin hasilnyaditingkat kan dong emas,0,0
1442,kualitas tidak perlu diragukan lagi. sukses selalu👍,5,2,kualitas perlu ragu sukses selalu,1,1
1443,q suka sekali...,3,2,q suka sekali,0,0
1444,"tekstur ringan ga lengket
respon penjual baik
fast respon
pengiriman cepat
packing aman dan rapi",5,2,tekstur ringan ga lengket respon jual baik fast respon kirim cepat packing aman rapi,1,1
1445,"barang ok, pengiriman ok",5,2,barang kirim,1,0
1446,"mantep banget pokoknya,ga ada foto soalnya udah kebuka",5,2,mantep banget pokoknyaga foto soal udah buka,1,1
1447,"secara produk sih 5 harusnya bintangnya, tapi karna ada patahan jadi 3 deh",3,2,produk sih harus bintang karna patah jadi deh,0,0
1448,"product cukup bagus,sayang selaki pipet botolnya tdk bagus dan cepat copot. pipet nya jg tidak berfungsi dgn baik.",3,2,product cukup bagussayang selak pipet botol tdk bagus cepat copot pipet nya jg fungsi dgn baik,0,0
1449,scarlett mah debest sih di aku..,5,2,scarlett mah debest sih aku,1,1
1450,"kulit jadi tampak segar, sehat dan cerah, penjualnya ramah bangetttt 👍, respon penjualnya oke 👍, proses pesanannya cepet 👍, packing rapih dan aman 👍, design kardusnya... ",5,2,kulit jadi tampak segar sehat cerah jual ramah banget respon jual oke proses pesan cepet packing rapih aman design kardus,1,1
1451,"Di proses cepat.
Pesan sore, besok paginya udah sampe.
Terus dicobain eh agak anget ya stelah dipakai di tangan. 
Wanginya enak banget sih.",5,2,proses cepat pesan sore besok pagi udah sampe terus dicobain eh anget stelah pakai tangan wangi enak banget sih,1,1
1452,produk original dan pengiriman cepat.terimakasih ya..,5,2,produk original kirim cepatterimakasih,1,1
1453,Alhamdulillah paket telah sampai isinya sesuai dengan apa yang saya pesan terimakasih maaf foto dan video yang dikirimkan tidk sesuai hehehehe,5,2,alhamdulillah paket sampai isi sesuai apa saya pesan terimakasih maaf foto video kirim tidk sesuai hehehehe,1,1
1454,"Pengiriman oke, kualitas belum tau",3,2,kirim oke kualitas tau,0,0
1455,"barangnya lama sekali sampenya, kondisi box udah rusak, tonernya agak tumpah sedikit",3,2,barang lama sekali sampenya kondisi box udah rusak tonernya tumpah sedikit,0,0
1456,Barang sesuai. Sampai dengan baik krmh... Goddd jobbbb,5,2,barang sesuai dengan baik krmh god job,1,1
1457,baru pertama kali nyobain body lotion Scarlett dan untuk wangi nya enak kaya parfum gitu,5,2,baru pertama kali nyobain body lotion scarlett untuk wangi nya enak kaya parfum gitu,1,1
1458,Proses pesanan cepat. Packaging rapi.,5,2,proses pesan cepatpackaging rapi,1,1
1459,pengiriman cepat seller ramah,5,2,kirim cepat seller ramah,1,1
1460,"barang ok,packing ok, pengiriman lancar",5,2,barang okpacking kirim lancar,1,1
1461,"Pengemasan dr Scarlet sich cepet banget tapi pengirimannya lumayan lama (pengiriman 6 hari ke Bali). Tapi barang dtg dlm keadaan baik, botol nya tersegel dgn plastik, jad... ",5,2,emas dr scarlet sich cepet banget kirim lumayan lama kirim hari bal barang dtg dlm ada baik botol nya segel dgn plastik jad,1,0
1462,Desainnya elegan 🌟. Penjualnya ramah banget. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top.,5,2,desain elegan jual ramah bangetproses pesan cepatpackaging aman packaging rapirespon jual top,1,1
1463,lembut dan wangi..pengiriman nya cepat dan fast respon,5,2,lembut wangipengiriman nya cepat fast respon,1,1
1464,Kenapa hand body tidak wangi dan sedikit agak cair. Beda dengan sebelumnya saya beli.,1,2,hand body wangi sedikit cair beda belum beli,0,0
1465,Desainnya elegan 🌟. Penjualnya ramah banget. Packaging aman 🙏. Respon penjualnya top. Jadi seneng banget 😊,5,2,desain elegan jual ramah bangetpackaging aman respon jual top jadi neng banget,1,1
1466,"barang sesuai dengan pesanan, packing aman",5,2,barang sesuai pesan packing aman,1,1
1467,Kulit jadi tampak sehat. Penjualnya ramah banget. Desainnya elegan 🌟. Aplikator mudah dipakai. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya... ,5,2,kulit jadi tampak sehatpenjualnya ramah bangetdesainnya elegan aplikator mudah dipakaiproses pesan cepatpackaging aman packaging rapirespon jual,1,1
1468,"bagus, pengemasan dan pengiriman",5,2,bagus emas kirim,1,1
1469,Sampai dengan selamat dan sesuai pesanan,5,2,dengan selamat sesuai pesan,1,1
1470,"produk original, gak lengket di kulit lotionya, wangi nya awet",5,2,produk original gak lengket kulit lotionya wangi nya awet,1,1
1471,"packingnya rapih banget👍, adminnya👍, recommended deh, moga2 cocok biar jadi langganan, terima kasih.",5,2,packingnya rapih banget adminnya recommended deh moga cocok biar jadi langgan terima kasih,1,1
1472,Desainnya elegan 🌟 Packaging rapi Packaging aman 🙏,5,2,desain elegan packaging rapi packaging aman,1,1
1473,"original, ter favorit jolly",5,2,original ter favorit jolly,1,1
1474,Ngga ngaruh sudah sebulan pakai,3,2,ngga ngaruh bulan pakai,0,0
1475,"pipetnya kurang bisa buat ambil serumnya. jadi agak effort kalau mau pake. tapi efeknya mantapp. pemakaian 2 minggu, kulit cerahan dan dark spot di muka jadi mulai pudar",4,2,pipet kurang buat ambil serum jadi effort kalau mau pake efek mantapp pakai minggu kulit cerah dark spot muka jadi mulai pudar,1,1
1476,Barang sampai sesuai pesanan dan malah di kasih bonusan.,5,2,barang sesuai pesan malah kasih bonus,1,1
1477,"Alhamdulillah.. sampe dengan aman..dusnya agak penyok siih tp dalemnya aman2 aja.. sebenernya beli karna nyobain punya adek, iseng coba eh kok langsung cocok dong.. auto... ",5,2,alhamdulillah sampe amandusnya penyok siih tp dalem aman aja sebenernya beli karna nyobain punya adek iseng coba eh kok langsung cocok dong auto,1,1
1478,Kulit jadi cerah. Cocok di kulit berminyak. Cepat meresap. Cocok di kulit kering. Kemasannya lucu 😆. Penjualnya ramah banget. Cocok di kulit kombinasi. Cocok di kulit no... ,5,2,kulit jadi cerahcocok kulit berminyakcepat meresapcocok kulit keringkemasannya lucu jual ramah bangetcocok kulit kombinasicocok kulit no,1,1
1479,Kulit jadi tampak sehat. Penjualnya ramah banget. Proses pesanan cepat. Packaging rapi.,5,2,kulit jadi tampak sehatpenjualnya ramah bangetproses pesan cepatpackaging rapi,1,1
1480,"selalu suka kalo ordernya disini, pengirimannya cepet meski 4.4 juga, beda sama si oren, lama pengirimannya 😔",5,2,selalu suka kalo order sini kirim cepet meski beda sama si oren lama kirim,1,1
1481,"Plastic cover damaged, toner rembes, cream day bleber"", udha tanya ke store katanya mungkin dari ekspedisinya, well padahal bubble wrap udha tebel sama stiker fragile... ",3,2,plastic cover damaged toner rembes cream day bleber udha tanya store kata mungkin ekspedisi well padahal bubble wrap udha tebel sama stiker fragile,0,0
1482,Pengiriman barang standar. Packing nya bagus. Dan dapat bonus. Thanks ya,5,2,kirim barang standar packing nya bagus dapat bonus thanks,1,1
1483,"mantep, byk bonusnyaaa 😁",5,2,mantep byk bonus,1,1
1484,paket rapih dan aman.penjual fast respon,5,2,paket rapih amanpenjual fast respon,1,1
1485,"the packaging its cute, really like it. good product",5,2,the packaging its cute really like it good product,1,1
1486,"oke, pengiriman cepat",5,2,oke kirim cepat,1,1
1487,Penjualnya ramah banget. Desainnya elegan 🌟. Proses pesanan cepat. First use. Hopefully fit🔥🔥🔥,5,2,jual ramah bangetdesainnya elegan proses pesan cepatfirst use hopefully fit,1,1
1488,"barang ori, istri senang. 
tinggal sy yang pusing mikirin cicilan.",5,2,barang ori istri senang tinggal sy pusing mikirin cicil,1,1
1489,buble hanya pada produk didalam giftbox. sedangkan giftboxnya tidak diberi pengaman jadi rusak. mau dikasih ke orang jadi jelek.,3,2,buble pada produk dalam giftbox giftboxnya beri kam jadi rusak mau kasih orang jadi jelek,0,0
1490,tidak sewangi varian lainnya.,3,2,wang varian lain,0,0
1491,"Freshlynya wangi bangeeeeetttt. 


Yg kurang cocok handbody nya sih, padet banget, kurang suka sama bau varian yg ini.
Body scrabnya enak dipakai, wanginya jg enak, cuman... ",5,2,freshlynya wangi banget kurang cocok handbody nya sih padet banget kurang suka sama bau varian ini body scrabnya enak pakai wangi jg enak cuman,1,1
1492,"terima kasih gan barang nya sdh smpe sukses selalu...
smga cocok dengan kulit sy, 😁🙏",5,2,terima kasih gan barang nya sdh smpe sukses selalu smga cocok kulit sy,1,1
1493,wangiiii.... suka... tengkyu...,5,2,wangi suka tengkyu,1,1
1494,Kulit jadi cerah. Kulit jadi cerah. Cocok di kulit berminyak. Cepat meresap. Cepat meresap. Kemasannya lucu 😆. Kemasannya lucu 😆. Cocok di kulit normal. Cocok di kulit... ,5,2,kulit jadi cerahkulit jadi cerahcocok kulit berminyakcepat meresapcepat meresapkemasannya lucu kemas lucu cocok kulit normalcocok kulit,1,1
1495,"beli 4 item 3 item sesuai gambar 1 item sea salt conditioner tidak sesuai gambar, dikirimin kemasan lama, disarankan retur tapi males yah jadi terima aja, qc nya ngak ben... ",3,2,beli item item sesuai gambar item sea salt conditioner sesuai gambar dikirimin kemas lama saran retur males yah jadi terima aja qc nya ngak ben,0,0
1496,"makasi karena komplain pertama direspon dengan cepat, barang yg belum dikirim 2, akhirnya dikirim lagi.
tapi sayang bgt pengiriman ke dua, isi serum acnenya udah tumpah k... ",2,2,makas komplain pertama direspon cepat barang belum kirim akhir kirim tapi sayang bgt kirim dua isi serum acnenya udah tumpah k,0,0
1497,"Barang sampai dengan cepat dan selamat, tapi agak rusak di stiker sih. Tapi not a big deal sih stiker doang. Wangi nya enak bgt yg jolly",5,2,barang dengan cepat selamat agak rusak stiker sih not a big deal sih stiker doang wangi nya enak bgt jolly,1,1
1498,Kulit jadi tampak sehat. Desainnya elegan 🌟. Proses pesanan cepat. Packaging rapi. Respon penjualnya top.,5,2,kulit jadi tampak sehatdesainnya elegan proses pesan cepatpackaging rapirespon jual top,1,1
1499,tutup shower scrubnya pecah.. karena males return ya sudah saja yakkk..,3,2,tutup shower scrubnya pecah males return sudah yak,0,0
1500,"semuanya oke, selalu puas belanja disini, tidak pernah mengecewakan, Terima kasih",5,2,semua oke selalu puas belanja sini pernah kecewa terima kasih,1,1
1501,"Proses pesanan cepat, Packaging aman 🙏",5,2,proses pesan cepat packaging aman,1,1
1502,Kulit jadi tampak sehat. Penjualnya ramah banget. Desainnya elegan 🌟. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top.,5,2,kulit jadi tampak sehatpenjualnya ramah bangetdesainnya elegan proses pesan cepatpackaging aman packaging rapirespon jual top,1,1
1503,Packaging aman 🙏. Proses pesanan cepat. Respon penjualnya top.,5,2,packaging aman proses pesan cepatrespon jual top,1,1
1504,Packaging aman dan produk yg kirim sesuai yg dipesan. Makasih Scarlet os,5,2,packaging aman produk kirim sesuai pes makasih scarlet os,1,1
1505,Saya ga cocok… btw effect tiap orang beda ya,2,2,ga cocok btw effect tiap orang beda,0,0
1506,Packaging aman 🙏Aplikator mudah dipakai,5,2,packaging aman aplikator mudah pakai,1,1
1507,"packing rapi, handbody wangi. terimakasih.",5,2,packing rapi handbody wangi terimakasih,1,1
1508,Bukan pertama kali pake,5,2,bukan pertama kali pake,1,1
1509,"mantap, respon dan pengiriman cepat",5,2,mantap respon kirim cepat,1,1
1510,"sudah tiba sesuai pesanan, dan aman tidak pecah
terima kasih seller",5,2,tiba sesuai pesan aman pecah terima kasih seller,1,1
1511,Pertama kali order karena lg pengen ganti produk. Dietalase tertera berat 400gr tp yg dkrm 300gr. Pas baca deskripsi 300gr sih. Sebaiknya dietalase jg 300gr aja ditulisny... ,3,2,pertama kali order lg ken ganti produk etalase tera berat gr tp dkrm gr pas baca deskripsi gr sih baik etalase jg gr aja ditulisny,0,0
1512,barangya aman g ada kekurangan apapun terimakasi scarlett dan tokopediaa 🥰🔥,5,2,barangya aman g kurang apa terimakasi scarlett tokopediaa,1,1
1513,barang sdh sampai terima kasih,5,2,barang sdh terima kasih,1,1
1514,"packing rapi, smuanya bgs.. blm apa2 dah direbut sm anak perempuanku krn warnanya pink2ky jd blm smpet difoto. smoga cocok ya",5,2,packing rapi smuanya bgs blm apa rebut sm anak perempuan krn warna pinkky jd blm smpet foto smoga cocok,1,1
1515,"Wanginya enak, seller responsif dan ramah, pengiriman cepat",5,2,wangi enak seller responsif ramah kirim cepat,1,1
1516,Makasih ya sdh di trima dgn baik,5,2,makasih sdh trima dgn baik,1,1
1517,makasih paketnya sudah datang dengan selamat,5,2,makasih paket datang selamat,1,1
1518,Kulit jadi tampak sehat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top. Proses pesanan cepat. Desainnya elegan 🌟. Penjualnya ramah banget.,5,2,kulit jadi tampak sehatpackaging aman packaging rapirespon jual topproses pesan cepatdesainnya elegan jual ramah banget,1,1
1519,barangnya sudah sampai .. wangi enak .. tq sis,5,2,barang sampai wangi enak tq sis,1,1
1520,Aku suka bgt wangi jolly softtt bgttt 🥺 Bakal terus order Scarlett nih 💜,5,2,aku suka bgt wangi jolly soft bgt bakal terus order scarlett nih,1,1
1521,"ga jelas team pengirimannya sdh sampai fikota asal seminggu yg lalu, gak diantar2 kerumah...",1,2,ga jelas team kirim sdh fikota asal minggu lalu gak antar rumah,0,0
1522,Kulit jadi tampak sehat. Desainnya elegan 🌟.,5,2,kulit jadi tampak sehatdesainnya elegan,1,1
1523,mantul..suka banget 🤩,5,2,mantulsuka banget,1,1
1524,Proses pesanan cepat. Respon penjualnya top.,5,2,proses pesan cepatrespon jual top,1,1
1525,"Respon  seller dan pengiriman cepat, packaging aman.",5,2,respon seller kirim cepat packaging aman,1,1
1526,"seneng banget packaging nya menarik,box nya bagus cuma sayang penyok untung isinya masih aman..
mudah2an cocok d muka aku,pengiriman cepet banget..
terimakasih",5,2,neng banget packaging nya menarikbox nya bagus cuma sayang penyok untung isi aman mudah cocok d muka akupengiriman cepet banget terimakasih,1,1
1527,Packaging rapi. Packaging aman 🙏. Proses pesanan cepat. Packaging unik. Packaging simpel.,5,2,packaging rapipackaging aman proses pesan cepatpackaging unikpackaging simpel,1,1
1528,sangat puas terima kasih Scarlett whitening.... tempat pengemasan nya sedikit robek,5,2,sangat puas terima kasih scarlett whitening tempat emas nya sedikit robek,1,1
1529,Barang original wangi,5,2,barang original wangi,1,1
1530,Packing rapi dan kualitas bagus,5,2,packing rapi kualitas bagus,1,1
1531,"Proses Pengiriman Lama dari Toko ini, LAMAAAA..
Kemasan Pada pecah.. Jadi JELEK. Ga bisa buat Hadiah Orang Spesial.",1,2,proses kirim lama toko lama kemas pecah jadi jelek ga buat hadiah orang spesial,0,0
1532,pengiriman lumayan cepat..paking aman..tq ya,5,2,kirim lumayan cepatpaking amantq,1,1
1533,"packaging aman meskipun cuma beli 1, pengiriman cepat",5,2,packaging aman meski cuma beli kirim cepat,1,1
1534,kurang rapi packingnya syg bgt pdhl edisi kotaknya bagus tp jd rusak 😔😔,3,2,kurang rapi packingnya syg bgt pdhl edisi kotak bagus tp jd rusak,0,0
1535,pelayanan sangat bagus super fast respon.. walau official lbh mahal tapi puas,5,2,layan sangat bagus super fast respon official lbh mahal puas,1,1
1536,"oke, sesuai deskripsi",5,2,oke sesuai deskripsi,1,1
1537,Cobain brand hype. Ternyata ini halus banget kayak sabun biasa. Wanginya oke,3,2,cobain brand hype nyata halus banget kayak sabun biasa wangi oke,0,0
1538,tutup shower gel nya pecah -.-,3,2,tutup shower gel nya pecah,0,0
1539,kualitas okee,5,2,kualitas okee,1,1
1540,"respon penjual cpt dlm pemesanan ataupun dlm hal komplain brg,packing brg jg oke
kbtulan kmrn ada masalah d kurir nya dlm pengiriman brg jd lama smpainya,pesan dr tgl 11... ",5,2,respon jual cpt dlm mesan atau dlm komplain brgpacking brg jg oke kbtulan kmrn masalah d kurir nya dlm kirim brg jd lama smpainyapesan dr tgl,1,1
1541,Kulit jadi tampak sehat. Aplikator mudah dipakai. Desainnya elegan 🌟. Penjualnya ramah banget. Packaging aman 🙏. Proses pesanan cepat. Packaging rapi. Respon penjualnya... ,5,2,kulit jadi tampak sehataplikator mudah dipakaidesainnya elegan jual ramah bangetpackaging aman proses pesan cepatpackaging rapirespon jual,1,1
1542,Kulit jadi cerah. Cocok di kulit berminyak. Cocok di kulit normal. Kemasannya lucu 😆. Cepat meresap. Cocok di kulit berminyak. Cocok di kulit kombinasi. Penjualnya ramah... ,5,2,kulit jadi cerahcocok kulit berminyakcocok kulit normalkemasannya lucu cepat meresapcocok kulit berminyakcocok kulit kombinasipenjualnya ramah,1,1
1543,"Packaging aman 🙏. Kulit jadi tampak sehat. Desainnya elegan 🌟. Packaging rapi. 
terlalu mahal harganya beda 25ribu",3,2,packaging aman kulit jadi tampak sehatdesainnya elegan packaging rapi terlalu mahal harga beda ribu,0,1
1544,"wangi nya tahan lama, packing aman, pengiriman cepat. respon penjual nya juga cepet. thanks",5,2,wangi nya tahan lama packing aman kirim cepat respon jual nya cepet thanks,1,1
1545,Packaging simpel. Packaging unik. Kulit jadi glowing ✨. Nyaman di kulit. Packaging aman 🙏. Packaging rapi.,5,2,packaging simpelpackaging unikkulit jadi glowing nyaman kulitpackaging aman packaging rapi,1,1
1546,goood pengiriman cepatt,5,2,god kirim cepatt,1,1
1547,"my first scarlett serum! mudah2an cocok yaaa
supaya bisa repurchase hehehePenjualnya ramah banget. Packaging rapi. Respon penjualnya top. Packaging aman 🙏.",5,2,my first scarlett serum mudah cocok supaya repurchase hehehepenjualnya ramah bangetpackaging rapirespon jual toppackaging aman,1,1
1548,"mksh scarlet...pengirimannya cpt, dan sngt cocok dikulit",5,2,mksh scarletpengirimannya cpt sngt cocok kulit,1,1
1549,pengiriman tdk tepat waktu,3,2,kirim tdk tepat waktu,0,0
1550,scarlet sudah sampai dengan selamat,3,2,scarlet sampai selamat,0,1
1551,Kulit jadi cerah. Cocok di kulit berminyak. Cocok di kulit kombinasi. Kemasannya lucu 😆. Cocok di kulit berminyak.,5,2,kulit jadi cerahcocok kulit berminyakcocok kulit kombinasikemasannya lucu cocok kulit minyak,1,1
